Video,Label Description,Category Description,Start Time,End Time,Confidence,_synthetic
synthetic_video_0004.mp4,basketball,Sports,40.06,43.5,0.9792,True
synthetic_video_0005.mp4,rain,Nature,0.0,5.6,0.7968,True
synthetic_video_0005.mp4,spotlight,Entertainment,4.0,8.96,0.9614,True
synthetic_video_0005.mp4,smile,Comedy,7.87,11.01,0.8735,True
synthetic_video_0005.mp4,fight,Sports,7.6,9.43,0.8209,True
synthetic_video_0005.mp4,vehicle,Action,10.95,12.53,0.7263,True
synthetic_video_0005.mp4,tense moment,Drama,15.58,17.45,0.9296,True
synthetic_video_0005.mp4,food,Food,25.5,31.17,0.9448,True
synthetic_video_0005.mp4,sky,Nature,18.22,21.03,0.9734,True
synthetic_video_0005.mp4,competition,Sports,23.26,27.75,0.7845,True
synthetic_video_0005.mp4,scenery,Travel,25.95,29.89,0.7545,True
synthetic_video_0005.mp4,celebration,Entertainment,25.46,31.34,0.9742,True
synthetic_video_0005.mp4,sunset,Nature,46.96,51.28,0.9373,True
synthetic_video_0005.mp4,weapon,Action,35.66,39.29,0.9634,True
synthetic_video_0005.mp4,basketball,Sports,36.3,38.56,0.7962,True
synthetic_video_0005.mp4,embrace,Drama,59.4,63.39,0.7675,True
synthetic_video_0005.mp4,food,Food,51.57,54.87,0.9395,True
synthetic_video_0005.mp4,playful interaction,Comedy,47.92,52.09,0.6228,True
synthetic_video_0005.mp4,cry,Drama,74.12,79.22,0.9315,True
synthetic_video_0005.mp4,love,Romance,77.6,81.72,0.7547,True
synthetic_video_0005.mp4,kitchen,Food,78.51,82.45,0.9614,True
synthetic_video_0005.mp4,dance,Entertainment,51.51,53.4,0.9001,True
synthetic_video_0005.mp4,joke,Comedy,89.09,92.91,0.7942,True
synthetic_video_0005.mp4,cry,Drama,57.23,62.59,0.6305,True
synthetic_video_0005.mp4,stunt,Action,65.52,69.89,0.6694,True
synthetic_video_0005.mp4,laugh,Comedy,85.39,89.6,0.9785,True
synthetic_video_0005.mp4,train,Travel,83.83,88.12,0.7837,True
synthetic_video_0005.mp4,embrace,Drama,113.73,119.67,0.8479,True
synthetic_video_0005.mp4,forest,Nature,103.82,107.18,0.9091,True
synthetic_video_0005.mp4,cooking,Food,119.35,121.63,0.7007,True
synthetic_video_0005.mp4,mountain,Nature,99.41,104.57,0.8755,True
synthetic_video_0005.mp4,mountain,Nature,134.88,139.63,0.6567,True
synthetic_video_0005.mp4,singing,Entertainment,109.92,111.91,0.879,True
synthetic_video_0005.mp4,stage,Entertainment,138.41,141.84,0.7947,True
synthetic_video_0005.mp4,kitchen,Food,141.09,145.45,0.84,True
synthetic_video_0005.mp4,embrace,Drama,85.41,88.54,0.7192,True
synthetic_video_0006.mp4,fashion,Lifestyle,0.0,5.52,0.7343,True
synthetic_video_0006.mp4,cry,Drama,3.39,5.91,0.8632,True
synthetic_video_0006.mp4,audience,Entertainment,5.65,10.76,0.902,True
synthetic_video_0006.mp4,fight,Sports,11.37,14.95,0.9807,True
synthetic_video_0006.mp4,couple,Romance,12.29,18.15,0.8563,True
synthetic_video_0006.mp4,dance,Entertainment,21.24,25.52,0.8585,True
synthetic_video_0006.mp4,sports,Sports,21.58,27.38,0.9169,True
synthetic_video_0006.mp4,tense moment,Drama,27.43,32.96,0.7985,True
synthetic_video_0006.mp4,smile,Comedy,26.8,31.87,0.7905,True
synthetic_video_0006.mp4,explosion,Action,26.09,31.41,0.9068,True
synthetic_video_0006.mp4,sports,Sports,27.54,31.54,0.7014,True
synthetic_video_0006.mp4,sports,Sports,43.92,48.79,0.8614,True
synthetic_video_0006.mp4,joke,Comedy,53.58,57.09,0.9576,True
synthetic_video_0006.mp4,explosion,Action,50.18,55.16,0.9263,True
synthetic_video_0006.mp4,water,Nature,42.67,44.33,0.7944,True
synthetic_video_0006.mp4,audience,Entertainment,41.1,45.8,0.9948,True
synthetic_video_0006.mp4,airport,Travel,55.71,58.65,0.7035,True
synthetic_video_0006.mp4,emotional reaction,Drama,44.95,46.8,0.8922,True
synthetic_video_0006.mp4,fun,Comedy,50.16,54.55,0.9213,True
synthetic_video_0006.mp4,swimming,Sports,66.85,72.62,0.7755,True
synthetic_video_0007.mp4,travel,Travel,0.0,2.17,0.8535,True
synthetic_video_0007.mp4,stage,Entertainment,2.73,6.79,0.9709,True
synthetic_video_0007.mp4,audience,Entertainment,8.72,14.41,0.5775,True
synthetic_video_0007.mp4,train,Travel,10.64,16.19,0.838,True
synthetic_video_0007.mp4,spotlight,Entertainment,15.41,17.72,0.9128,True
synthetic_video_0007.mp4,romance,Romance,20.99,24.61,0.9044,True
synthetic_video_0007.mp4,basketball,Sports,17.09,18.9,0.86,True
synthetic_video_0007.mp4,tears,Drama,28.48,30.95,0.9786,True
synthetic_video_0007.mp4,dance,Entertainment,22.38,24.78,0.8823,True
synthetic_video_0007.mp4,spotlight,Entertainment,32.91,37.61,0.7887,True
synthetic_video_0007.mp4,laugh,Comedy,41.44,43.71,0.5887,True
synthetic_video_0007.mp4,celebration,Entertainment,31.34,36.67,0.8804,True
synthetic_video_0007.mp4,tense moment,Drama,50.24,53.07,0.8796,True
synthetic_video_0007.mp4,kiss,Romance,48.11,50.15,0.9358,True
synthetic_video_0007.mp4,sports,Sports,62.46,65.29,0.7383,True
synthetic_video_0007.mp4,explosion,Action,42.16,45.59,0.8478,True
synthetic_video_0007.mp4,singing,Entertainment,47.19,52.39,0.6743,True
synthetic_video_0007.mp4,shopping,Lifestyle,66.3,67.84,0.8425,True
synthetic_video_0007.mp4,fight,Sports,76.08,78.06,0.845,True
synthetic_video_0007.mp4,stunt,Action,65.42,71.18,0.8791,True
synthetic_video_0007.mp4,smile,Comedy,83.51,87.39,0.7591,True
synthetic_video_0007.mp4,beach,Travel,68.26,71.07,0.9625,True
synthetic_video_0007.mp4,celebration,Entertainment,88.87,93.58,0.8607,True
synthetic_video_0007.mp4,tears,Drama,76.05,77.85,0.7907,True
synthetic_video_0007.mp4,dance,Entertainment,69.93,74.16,0.9825,True
synthetic_video_0007.mp4,spotlight,Entertainment,66.27,68.68,0.764,True
synthetic_video_0007.mp4,swimming,Sports,109.58,111.97,0.9319,True
synthetic_video_0008.mp4,emotional reaction,Drama,0.0,3.15,0.919,True
synthetic_video_0008.mp4,tears,Drama,3.83,6.28,0.7923,True
synthetic_video_0008.mp4,running,Sports,6.51,11.47,0.9181,True
synthetic_video_0008.mp4,playful interaction,Comedy,8.13,10.44,0.8934,True
synthetic_video_0008.mp4,cycling,Sports,15.8,21.75,0.9703,True
synthetic_video_0008.mp4,cooking,Food,16.26,18.08,0.6897,True
synthetic_video_0008.mp4,audience,Entertainment,25.41,30.1,0.699,True
synthetic_video_0008.mp4,cycling,Sports,19.23,22.87,0.9027,True
synthetic_video_0008.mp4,conversation,Drama,22.66,25.66,0.7726,True
synthetic_video_0008.mp4,sports,Sports,37.67,41.04,0.9038,True
synthetic_video_0008.mp4,fun,Comedy,32.15,33.97,0.8224,True
synthetic_video_0008.mp4,fight,Action,43.63,47.03,0.7641,True
synthetic_video_0008.mp4,sports,Sports,49.81,54.94,0.9406,True
synthetic_video_0008.mp4,crash,Action,51.18,55.26,0.7864,True
synthetic_video_0008.mp4,emotional reaction,Drama,59.28,64.73,0.993,True
synthetic_video_0008.mp4,tears,Drama,40.26,44.11,0.9181,True
synthetic_video_0008.mp4,running,Sports,62.2,66.48,0.955,True
synthetic_video_0008.mp4,cry,Drama,54.33,56.68,0.8999,True
synthetic_video_0008.mp4,city,Travel,72.73,76.26,0.8505,True
synthetic_video_0008.mp4,cycling,Sports,71.3,75.47,0.7082,True
synthetic_video_0008.mp4,meal,Food,62.63,65.95,0.8882,True
synthetic_video_0008.mp4,boxing,Sports,91.61,94.56,0.901,True
synthetic_video_0008.mp4,party,Entertainment,70.04,72.22,0.9509,True
synthetic_video_0008.mp4,party,Entertainment,65.54,68.66,0.8565,True
synthetic_video_0008.mp4,sunset,Nature,94.01,95.58,0.7458,True
synthetic_video_0008.mp4,spotlight,Entertainment,65.78,71.4,0.9705,True
synthetic_video_0008.mp4,exercise,Lifestyle,115.36,119.38,0.8339,True
synthetic_video_0008.mp4,candlelight,Romance,68.26,72.63,0.9685,True
synthetic_video_0009.mp4,playful interaction,Comedy,0.0,4.39,0.8278,True
synthetic_video_0009.mp4,meal,Food,3.43,8.73,0.5564,True
synthetic_video_0009.mp4,playful interaction,Comedy,8.29,11.3,0.902,True
synthetic_video_0009.mp4,competition,Sports,11.94,14.57,0.9694,True
synthetic_video_0009.mp4,tense moment,Drama,11.84,14.31,0.8241,True
synthetic_video_0009.mp4,meal,Food,13.24,18.6,0.3941,True
synthetic_video_0009.mp4,party,Entertainment,22.5,24.87,0.6726,True
synthetic_video_0009.mp4,rain,Nature,30.54,33.0,0.9243,True
synthetic_video_0009.mp4,battle,Action,31.11,36.91,0.9687,True
synthetic_video_0009.mp4,yoga,Lifestyle,30.89,32.46,0.8512,True
synthetic_video_0009.mp4,water,Nature,37.77,43.69,0.7574,True
synthetic_video_0009.mp4,vehicle,Action,30.93,35.94,0.6485,True
synthetic_video_0009.mp4,embrace,Drama,49.1,53.0,0.6084,True
synthetic_video_0009.mp4,argument,Drama,40.63,42.91,0.8782,True
synthetic_video_0009.mp4,dance,Entertainment,61.56,64.47,0.895,True
synthetic_video_0009.mp4,fun,Comedy,57.15,58.85,0.57,True
synthetic_video_0009.mp4,beach,Travel,58.54,62.9,0.5794,True
synthetic_video_0009.mp4,festival,Entertainment,56.36,59.83,0.7496,True
synthetic_video_0009.mp4,soccer,Sports,58.69,62.13,0.7924,True
synthetic_video_0009.mp4,conversation,Drama,53.25,58.91,0.6981,True
synthetic_video_0009.mp4,food,Food,83.87,88.42,0.9221,True
synthetic_video_0009.mp4,destruction,Action,57.25,62.86,0.8529,True
synthetic_video_0009.mp4,smile,Comedy,60.62,64.17,0.6779,True
synthetic_video_0009.mp4,candlelight,Romance,99.96,104.31,0.8181,True
synthetic_video_0009.mp4,performance,Entertainment,97.04,99.47,0.8739,True
synthetic_video_0009.mp4,fun,Comedy,79.04,82.33,0.6543,True
synthetic_video_0009.mp4,nature,Nature,71.11,73.86,0.912,True
synthetic_video_0009.mp4,festival,Entertainment,117.1,119.98,0.762,True
synthetic_video_0009.mp4,cry,Drama,102.01,107.74,0.7559,True
synthetic_video_0009.mp4,shopping,Lifestyle,90.41,96.36,0.8638,True
synthetic_video_0009.mp4,fun,Comedy,110.15,114.88,0.9085,True
synthetic_video_0009.mp4,travel,Travel,107.59,109.26,0.9485,True
synthetic_video_0009.mp4,singing,Entertainment,138.68,144.6,0.8581,True
synthetic_video_0009.mp4,fun,Comedy,147.74,150.42,0.9796,True
synthetic_video_0009.mp4,explosion,Action,89.6,93.1,0.6044,True
synthetic_video_0009.mp4,embrace,Drama,136.27,138.36,0.7132,True
synthetic_video_0009.mp4,audience,Entertainment,150.07,153.21,0.8146,True
synthetic_video_0009.mp4,performance,Entertainment,107.19,111.85,0.9511,True
synthetic_video_0009.mp4,candlelight,Romance,122.64,126.31,0.8255,True
synthetic_video_0010.mp4,battle,Action,0.0,2.49,0.8716,True
synthetic_video_0010.mp4,playful interaction,Comedy,2.95,5.64,0.8611,True
synthetic_video_0010.mp4,beach,Travel,8.08,10.26,0.7138,True
synthetic_video_0010.mp4,soccer,Sports,10.97,16.95,0.8769,True
synthetic_video_0010.mp4,sunset,Nature,12.89,17.22,0.9818,True
synthetic_video_0010.mp4,train,Travel,12.8,17.58,0.8025,True
synthetic_video_0010.mp4,argument,Drama,17.42,20.8,0.8675,True
synthetic_video_0010.mp4,argument,Drama,21.19,24.1,0.8004,True
synthetic_video_0010.mp4,ocean,Nature,33.87,38.55,0.8346,True
synthetic_video_0010.mp4,food,Food,34.75,37.73,0.8826,True
synthetic_video_0010.mp4,cycling,Sports,41.23,42.84,0.8072,True
synthetic_video_0010.mp4,festival,Entertainment,49.1,53.5,0.9459,True
synthetic_video_0010.mp4,fun,Comedy,51.46,56.98,0.9246,True
synthetic_video_0010.mp4,meal,Food,35.97,40.35,0.846,True
synthetic_video_0010.mp4,scenery,Travel,46.4,48.29,0.9285,True
synthetic_video_0010.mp4,performance,Entertainment,42.45,46.6,0.8907,True
synthetic_video_0010.mp4,tense moment,Drama,60.68,64.77,0.9653,True
synthetic_video_0010.mp4,tears,Drama,51.65,53.94,0.6954,True
synthetic_video_0010.mp4,wildlife,Nature,75.4,78.27,0.9284,True
synthetic_video_0010.mp4,scenery,Travel,56.76,59.93,0.8498,True
synthetic_video_0010.mp4,fashion,Lifestyle,72.47,75.19,0.9407,True
synthetic_video_0010.mp4,joke,Comedy,61.55,65.68,0.8947,True
synthetic_video_0010.mp4,destruction,Action,61.35,66.65,0.7689,True
synthetic_video_0010.mp4,singing,Entertainment,64.38,66.98,0.8617,True
synthetic_video_0010.mp4,party,Entertainment,80.5,84.43,0.9433,True
synthetic_video_0010.mp4,airport,Travel,99.32,104.76,0.9138,True
synthetic_video_0010.mp4,joke,Comedy,83.62,86.43,0.8649,True
synthetic_video_0010.mp4,beach,Travel,119.11,124.49,0.9062,True
synthetic_video_0010.mp4,chase,Action,90.08,95.76,0.9394,True
synthetic_video_0010.mp4,basketball,Sports,126.87,129.41,0.9098,True
synthetic_video_0010.mp4,destruction,Action,127.19,131.05,0.8709,True
synthetic_video_0010.mp4,meal,Food,118.77,122.16,0.8881,True
synthetic_video_0010.mp4,tears,Drama,130.24,133.19,0.8959,True
synthetic_video_0010.mp4,sports,Sports,128.05,134.04,0.7721,True
synthetic_video_0010.mp4,fight,Action,121.17,126.22,0.7988,True
synthetic_video_0010.mp4,tense moment,Drama,105.86,111.16,0.944,True
synthetic_video_0011.mp4,kitchen,Food,0.0,4.51,0.9394,True
synthetic_video_0011.mp4,singing,Entertainment,3.49,8.04,0.9516,True
synthetic_video_0011.mp4,kitchen,Food,7.26,9.41,0.9277,True
synthetic_video_0011.mp4,romance,Romance,8.36,10.51,0.9675,True
synthetic_video_0011.mp4,music,Entertainment,11.79,16.26,0.9311,True
synthetic_video_0011.mp4,smile,Comedy,22.49,26.08,0.771,True
synthetic_video_0011.mp4,smile,Comedy,18.55,21.63,0.9188,True
synthetic_video_0011.mp4,smile,Comedy,17.6,22.79,0.8067,True
synthetic_video_0011.mp4,meal,Food,29.93,32.4,0.8542,True
synthetic_video_0011.mp4,shopping,Lifestyle,25.08,30.37,0.8706,True
synthetic_video_0011.mp4,battle,Action,25.84,31.0,0.6575,True
synthetic_video_0011.mp4,soccer,Sports,28.92,30.98,0.8484,True
synthetic_video_0012.mp4,party,Entertainment,0.0,5.21,0.8578,True
synthetic_video_0012.mp4,spotlight,Entertainment,3.39,6.78,0.7329,True
synthetic_video_0012.mp4,party,Entertainment,6.83,10.46,0.9345,True
synthetic_video_0012.mp4,playful interaction,Comedy,9.32,12.51,0.862,True
synthetic_video_0012.mp4,crash,Action,16.58,19.47,0.8146,True
synthetic_video_0012.mp4,exercise,Lifestyle,18.07,23.95,0.9545,True
synthetic_video_0012.mp4,performance,Entertainment,16.95,22.32,0.6002,True
synthetic_video_0012.mp4,explosion,Action,20.33,25.22,0.8123,True
synthetic_video_0012.mp4,festival,Entertainment,35.53,40.95,0.8276,True
synthetic_video_0012.mp4,celebration,Entertainment,28.95,31.01,0.9417,True
synthetic_video_0012.mp4,running,Sports,31.2,35.57,0.8411,True
synthetic_video_0012.mp4,spotlight,Entertainment,35.27,41.16,0.9386,True
synthetic_video_0012.mp4,airport,Travel,42.74,44.68,0.6246,True
synthetic_video_0012.mp4,boxing,Sports,57.85,63.64,0.8706,True
synthetic_video_0012.mp4,food,Food,41.8,46.69,0.9566,True
synthetic_video_0012.mp4,ocean,Nature,50.61,56.31,0.8959,True
synthetic_video_0013.mp4,argument,Drama,0.0,1.95,0.8926,True
synthetic_video_0013.mp4,explosion,Action,3.18,8.42,0.6924,True
synthetic_video_0013.mp4,airport,Travel,7.51,12.98,0.5474,True
synthetic_video_0013.mp4,destruction,Action,10.78,13.13,0.9725,True
synthetic_video_0013.mp4,chase,Action,13.27,15.52,0.8954,True
synthetic_video_0013.mp4,airport,Travel,13.84,15.65,0.7983,True
synthetic_video_0013.mp4,athletics,Sports,24.07,25.62,0.9102,True
synthetic_video_0014.mp4,party,Entertainment,0.0,3.14,0.8941,True
synthetic_video_0014.mp4,concert,Entertainment,3.41,8.47,0.7252,True
synthetic_video_0014.mp4,destruction,Action,7.46,10.83,0.7828,True
synthetic_video_0014.mp4,cycling,Sports,8.02,13.53,0.8688,True
synthetic_video_0014.mp4,scenery,Travel,10.92,13.83,0.8787,True
synthetic_video_0014.mp4,argument,Drama,19.7,25.32,0.9227,True
synthetic_video_0014.mp4,airport,Travel,20.76,22.73,0.8147,True
synthetic_video_0014.mp4,smile,Comedy,24.29,26.64,0.9718,True
synthetic_video_0014.mp4,cry,Drama,22.27,23.94,0.6258,True
synthetic_video_0014.mp4,celebration,Entertainment,23.98,28.86,0.5928,True
synthetic_video_0014.mp4,ocean,Nature,31.37,35.45,0.957,True
synthetic_video_0014.mp4,performance,Entertainment,39.05,44.54,0.9736,True
synthetic_video_0014.mp4,city,Travel,30.93,33.45,0.9294,True
synthetic_video_0014.mp4,crash,Action,32.8,36.53,0.8989,True
synthetic_video_0014.mp4,joke,Comedy,61.4,65.11,0.9577,True
synthetic_video_0014.mp4,dance,Entertainment,45.06,46.79,0.8689,True
synthetic_video_0014.mp4,forest,Nature,43.04,46.84,0.6941,True
synthetic_video_0014.mp4,romance,Romance,43.52,46.51,0.5843,True
synthetic_video_0014.mp4,snow,Nature,71.05,75.46,0.6754,True
synthetic_video_0014.mp4,emotional reaction,Drama,52.92,56.13,0.8237,True
synthetic_video_0014.mp4,wildlife,Nature,54.38,58.18,0.8897,True
synthetic_video_0014.mp4,smile,Comedy,72.61,78.01,0.6753,True
synthetic_video_0015.mp4,cry,Drama,0.0,3.63,0.6959,True
synthetic_video_0015.mp4,water,Nature,2.68,4.89,0.8063,True
synthetic_video_0015.mp4,love,Romance,6.59,11.92,0.536,True
synthetic_video_0015.mp4,party,Entertainment,8.14,11.61,0.4939,True
synthetic_video_0015.mp4,singing,Entertainment,17.88,21.75,0.9222,True
synthetic_video_0015.mp4,sky,Nature,15.01,18.06,0.8617,True
synthetic_video_0015.mp4,celebration,Entertainment,18.93,21.38,0.7705,True
synthetic_video_0015.mp4,sunset,Nature,25.13,28.71,0.996,True
synthetic_video_0015.mp4,water,Nature,24.5,27.99,0.7201,True
synthetic_video_0015.mp4,joke,Comedy,39.31,44.67,0.8401,True
synthetic_video_0015.mp4,music,Entertainment,41.89,45.75,0.8248,True
synthetic_video_0015.mp4,fun,Comedy,28.63,32.77,0.9267,True
synthetic_video_0015.mp4,stage,Entertainment,53.73,58.38,0.9408,True
synthetic_video_0015.mp4,weapon,Action,43.42,48.23,0.95,True
synthetic_video_0015.mp4,audience,Entertainment,50.13,52.47,0.9822,True
synthetic_video_0015.mp4,boxing,Sports,64.32,68.71,0.7794,True
synthetic_video_0015.mp4,airport,Travel,44.47,46.88,0.897,True
synthetic_video_0015.mp4,dance,Entertainment,55.47,61.3,0.929,True
synthetic_video_0015.mp4,snow,Nature,50.85,56.52,0.9338,True
synthetic_video_0015.mp4,performance,Entertainment,48.8,52.51,0.8081,True
synthetic_video_0015.mp4,tears,Drama,52.72,58.64,0.6013,True
synthetic_video_0015.mp4,boxing,Sports,85.77,89.46,0.683,True
synthetic_video_0015.mp4,forest,Nature,78.45,80.16,0.8446,True
synthetic_video_0015.mp4,couple,Romance,61.52,63.64,0.5674,True
synthetic_video_0015.mp4,weapon,Action,72.86,77.7,0.959,True
synthetic_video_0015.mp4,couple,Romance,93.3,96.62,0.9639,True
synthetic_video_0016.mp4,music,Entertainment,0.0,1.63,0.7859,True
synthetic_video_0016.mp4,audience,Entertainment,2.86,8.21,0.8632,True
synthetic_video_0016.mp4,athletics,Sports,5.48,11.01,0.9914,True
synthetic_video_0016.mp4,concert,Entertainment,13.03,18.74,0.9334,True
synthetic_video_0016.mp4,spotlight,Entertainment,10.39,12.37,0.9158,True
synthetic_video_0016.mp4,couple,Romance,15.51,17.28,0.7844,True
synthetic_video_0016.mp4,ocean,Nature,26.44,30.2,0.9717,True
synthetic_video_0016.mp4,airport,Travel,21.76,25.2,0.8737,True
synthetic_video_0016.mp4,fight,Sports,34.14,39.11,0.9285,True
synthetic_video_0016.mp4,embrace,Drama,30.4,34.28,0.7134,True
synthetic_video_0016.mp4,audience,Entertainment,33.31,35.4,0.8694,True
